state, district, state_name, party, representative, obama_raw, romney_raw, other_raw, romney_percentage, obama_percentage, romney_percentage, other_percentage
Alabama,5,Alabama,R,Mo Brooks,103599,189865,3806,34.85,63.87,1.28,
Alabama,4,Alabama,R,Robert B. Aderholt,66075,205337,3262,24.06,74.76,1.19,
Alabama,7,Alabama,D,Terri A. Sewell,226262,87234,1489,71.83,27.69,0.47,
Alabama,1,Alabama,R,Bradley Byrne,111756,184703,2315,37.4,61.82,0.77,
Alabama,2,Alabama,R,Martha Roby,105796,182090,2004,36.5,62.81,0.69,
Alabama,6,Alabama,R,Spencer Bachus,78842,232308,3254,25.08,73.89,1.03,
Alabama,3,Alabama,R,Mike Rogers,103366,174388,2576,36.87,62.21,0.92,
Florida,1,Florida,R,Jeff Miller,106814,242972,4096,30.18,68.66,1.16,
Florida,2,Florida,R,Steve Southerland II,158753,178782,3750,46.52,52.38,1.1,
Florida,3,Florida,R,Ted S. Yoho,122596,201246,3800,37.42,61.42,1.16,
Florida,4,Florida,R,Ander Crenshaw,123541,222104,3271,35.41,63.66,0.94,
Florida,11,Florida,R,Richard B. Nugent,143380,209720,3281,40.23,58.85,0.92,
Florida,6,Florida,R,Ron DeSantis,149955,209150,3376,41.37,57.7,0.93,
Florida,5,Florida,D,Corrine Brown,195239,80479,2015,70.3,28.98,0.73,
Florida,7,Florida,R,John L. Mica,158258,170072,3633,47.67,51.23,1.09,
Florida,8,Florida,R,Bill Posey,153138,206074,3839,42.18,56.76,1.06,
Florida,9,Florida,D,Alan Grayson,167728,103356,2343,61.34,37.8,0.86,
Florida,17,Florida,R,Thomas J. Rooney,123735,170479,2726,41.67,57.41,0.92,
Florida,10,Florida,R,Daniel Webster,148802,174969,3004,45.54,53.54,0.92,
Florida,18,Florida,D,Patrick Murphy,163067,177320,2458,47.56,51.72,0.72,
Florida,12,Florida,R,Gus M. Bilirakis,153386,185157,4083,44.77,54.04,1.19,
Florida,15,Florida,R,Dennis A. Ross,139945,161514,3312,45.92,53,1.09,
Florida,14,Florida,D,Kathy Castor,191255,99834,2903,65.05,33.96,0.99,
Florida,26,Florida,D,Joe Garcia,141462,123581,1497,53.07,46.36,0.56,
Florida,13,Florida,,Office of the Thirteenth of Florida,171102,166087,4208,50.12,48.65,1.23,
Florida,16,Florida,R,Vern Buchanan,161079,194525,3191,44.89,54.22,0.89,
Florida,19,Florida,,Office of the Nineteenth of Florida,124431,194511,2082,38.76,60.59,0.65,
Florida,20,Florida,D,Alcee L. Hastings,216627,44529,1085,82.61,16.98,0.41,
Florida,21,Florida,D,Theodore E. Deutch,196224,125820,1797,60.59,38.85,0.55,
Florida,22,Florida,D,Lois Frankel,178114,147205,2270,54.37,44.94,0.69,
Florida,23,Florida,D,Debbie Wasserman Schultz,176662,108880,1703,61.5,37.9,0.59,
Florida,24,Florida,D,Frederica S. Wilson,227956,31762,808,87.5,12.19,0.31,
Florida,25,Florida,R,Mario Diaz-Balart,115335,120154,1176,48.73,50.77,0.5,
Georgia,2,Georgia,D,Sanford D. Bishop Jr.,153998,107242,1598,58.59,40.8,0.61,
Georgia,3,Georgia,R,Lynn A. Westmoreland,97704,195034,3400,32.99,65.86,1.15,
Georgia,4,Georgia,D,Henry C. ?Hank? Johnson Jr.,218500,75950,2484,73.59,25.58,0.84,
Georgia,5,Georgia,D,John Lewis,241215,45886,3255,83.08,15.8,1.12,
Georgia,7,Georgia,R,Rob Woodall,101064,158854,3823,38.32,60.23,1.45,
Georgia,8,Georgia,R,Austin Scott,99676,163908,2378,37.48,61.63,0.89,
Georgia,10,Georgia,R,Paul C. Broun,107040,184162,3652,36.3,62.46,1.24,
Georgia,11,Georgia,R,Phil Gingrey,94450,201016,4816,31.45,66.94,1.6,
Georgia,12,Georgia,D,John Barrow,117084,148686,2510,43.64,55.42,0.94,
Georgia,13,Georgia,D,David Scott,202839,87821,2300,69.24,29.98,0.79,
Georgia,14,Georgia,R,Tom Graves,58906,170364,3432,25.31,73.21,1.47,
Georgia,6,Georgia,R,Tom Price,115014,186806,5272,37.45,60.83,1.72,
Georgia,9,Georgia,R,Doug Collins,54387,207497,3665,20.48,78.14,1.38,
Georgia,1,Georgia,R,Jack Kingston,111950,145462,2739,43.03,55.91,1.05,
Louisiana,3,Louisiana,R,Charles W. Boustany Jr.,107645,220427,5470,32.27,66.09,1.64,
Louisiana,4,Louisiana,R,John Fleming,128584,191268,4220,39.68,59.02,1.3,
Louisiana,5,Louisiana,R,Vance M. McAllister,123856,201247,4377,37.59,61.08,1.33,
Louisiana,1,Louisiana,R,Steve Scalise,91438,232777,7481,27.57,70.18,2.26,
Louisiana,2,Louisiana,D,Cedric L. Richmond,241509,82568,4667,73.46,25.12,1.42,
Louisiana,6,Louisiana,R,Bill Cassidy,116108,223975,6447,33.51,64.63,1.86,
Mississippi,1,Mississippi,R,Alan Nunnelee,118438,197982,3564,37.01,61.87,1.11,
Mississippi,2,Mississippi,D,Bennie G. Thompson,219416,109228,1899,66.38,33.05,0.57,
Mississippi,3,Mississippi,R,Gregg Harper,132968,204182,2998,39.09,60.03,0.88,
Mississippi,4,Mississippi,R,Steven M. Palazzo,92127,199354,3428,31.24,67.6,1.16,
Alaska,(at Large),Alaska,R,Don Young,91696,121234,7666,41.6,55,3.5,
Arkansas,1,Arkansas,R,Eric A. ?Rick? Crawford,92075,154545,6824,36.33,60.98,2.69,
Arkansas,2,Arkansas,R,Tim Griffin,125527,160140,6848,42.91,54.75,2.34,
Arkansas,3,Arkansas,R,Steve Womack,81413,168703,7552,31.6,65.47,2.93,
Arkansas,4,Arkansas,R,Tom Cotton,95394,164356,6091,35.88,61.82,2.29,
Arizona,1,Arizona,D,Ann Kirkpatrick,124550,131115,4391,47.89,50.42,1.69,
Arizona,4,Arizona,R,Paul A. Gosar,80035,173394,4617,31.02,67.19,1.79,
Arizona,6,Arizona,R,David Schweikert,121661,186537,5219,38.82,59.52,1.67,
Arizona,8,Arizona,R,Trent Franks,107335,179555,4236,36.87,61.68,1.46,
Arizona,5,Arizona,R,Matt Salmon,101511,187304,4933,34.56,63.76,1.68,
Arizona,9,Arizona,D,Kyrsten Sinema,135244,123263,6056,51.12,46.59,2.29,
Arizona,7,Arizona,D,Ed Pastor,101028,37353,2526,71.7,26.51,1.79,
Arizona,2,Arizona,D,Ron Barber,144966,149651,5074,48.37,49.94,1.69,
Arizona,3,Arizona,D,Ra?l M. Grijalva,108902,65482,2864,61.44,36.94,1.62,
California,1,California,R,Doug LaMalfa,122379,171902,9647,40.27,56.56,3.17,
California,2,California,D,Jared Huffman,230212,89908,13322,69.04,26.96,4,
California,5,California,D,Mike Thompson,199924,78703,8031,69.74,27.46,2.8,
California,8,California,R,Paul Cook,88579,118278,5776,41.66,55.63,2.72,
California,6,California,D,Doris O. Matsui,156141,63862,5828,69.14,28.28,2.58,
California,9,California,D,Jerry McNerney,127418,88403,4491,57.84,40.13,2.04,
