Abanda CDP
Abbeville city
Adamsville city
Addison town
Akron town
Alabaster city
Albertville city
Alexander City city
Alexandria CDP
Aliceville city
Allgood town
Altoona town
Andalusia city
Anderson town
Anniston city
Arab city
Ardmore town
Argo town
Ariton town
Arley town
Ashford town
Ashland town
Ashville city
Athens city
Atmore city
Attalla city
Auburn city
Autaugaville town
Avon town
Axis CDP
Babbie town
Baileyton town
Bakerhill town
Ballplay CDP
Banks town
Bay Minette city
Bayou La Batre city
Bear Creek town
Beatrice town
Beaverton town
Belgreen CDP
Belk town
Bellamy CDP
Belle Fontaine CDP
Benton town
Berry town
Bessemer city
Billingsley town
Birmingham city
Black town
Blountsville town
Blue Ridge CDP
Blue Springs town
Boaz city
Boligee town
Bon Air town
Boykin CDP
Brantley town
Brantleyville CDP
Brent city
Brewton city
Bridgeport city
Brighton city
Brilliant town
Bristow Cove CDP
Brook Highland CDP
Brookside town
Brookwood town
Broomtown CDP
Brundidge city
Bucks CDP
Butler town
Calera city
Calvert CDP
Camden city
Camp Hill town
Carbon Hill city
Cardiff town
Carlisle-Rockledge CDP
Carlton CDP
Carolina town
Carrollton town
Castleberry town
Catherine CDP
Cedar Bluff town
Center Point city
Centre city
Centreville city
Chatom town
Chelsea city
Cherokee town
Chickasaw city
Childersburg city
Choccolocco CDP
Chunchula CDP
Citronelle city
Clanton city
Clay city
Clayhatchee town
Clayton town
Cleveland town
Clio city
Coaling town
Coats Bend CDP
Coffee Springs town
Coffeeville town
Coker town
Collinsville town
Colony town
Columbia town
Columbiana city
Concord CDP
Coosada town
Cordova city
Cottondale CDP
Cottonwood town
County Line town
Courtland town
Cowarts town
Creola city
Crossville town
Cuba town
Cullman city
Cullomburg CDP
Cusseta town
Dadeville city
Daleville city
Daphne city
Dauphin Island town
Daviston town
Dayton town
Deatsville town
Decatur city
Deer Park CDP
Delta CDP
Demopolis city
Detroit town
Dodge City town
Dora city
Dothan city
Double Springs town
Douglas town
Dozier town
Dunnavant CDP
Dutton town
East Brewton city
East Point CDP
Eclectic town
Edgewater CDP
Edwardsville town
Egypt CDP
Elba city
Elberta town
Eldridge town
Elkmont town
Elmore town
Emelle town
Emerald Mountain CDP
Enterprise city
Epes town
Ethelsville town
Eufaula city
Eunola CDP
Eutaw town
Eva town
Evergreen city
Excel town
Fairfield city
Fairford CDP
Fairhope city
Fairview town
Falkville town
Faunsdale town
Fayette city
Fayetteville CDP
Fitzpatrick CDP
Five Points town
Flomaton town
Florala town
Florence city
Foley city
Forestdale CDP
Forkland town
Fort Deposit town
Fort Payne city
Fort Rucker CDP
Franklin town
Fredonia CDP
Frisco City town
Fruitdale CDP
Fruithurst town
Fulton town
Fultondale city
Fyffe town
Gadsden city
Gainesville town
Gallant CDP
Gantt town
Garden City town
Gardendale city
Gaylesville town
Geiger town
Geneva city
Georgiana town
Geraldine town
Gilbertown town
Glen Allen town
Glencoe city
Glenwood town
Goldville town
Good Hope town
Goodwater town
Gordo town
Gordon town
Gordonville town
Goshen town
Graham CDP
Grand Bay CDP
Grant town
Grayson Valley CDP
Graysville city
Greensboro city
Greenville city
Grimes town
Grove Hill town
Guin city
Gulfcrest CDP
Gulf Shores city
Guntersville city
Gurley town
Gu-Win town
Hackleburg town
Hackneyville CDP
Haleburg town
Haleyville city
Hamilton city
Hammondville town
Hanceville city
Harpersville town
Hartford city
Hartselle city
Harvest CDP
Hatton CDP
Hayden town
Hayneville town
Hazel Green CDP
Headland city
Heath town
Heflin city
Helena city
Henagar city
Highland Lake town
Highland Lakes CDP
Hillsboro town
Hissop CDP
Hobson CDP
Hobson City town
Hodges town
Hokes Bluff city
Hollins CDP
Hollis Crossroads CDP
Holly Pond town
Hollywood town
Holt CDP
Holtville CDP
Homewood city
Hoover city
Horn Hill town
Hueytown city
Huguley CDP
Huntsville city
Hurtsboro town
Hytop town
Ider town
Indian Springs Village city
Irondale city
Ivalee CDP
Jackson city
Jacksons' Gap town
Jacksonville city
Jasper city
Jemison city
Joppa CDP
Kansas town
Kellyton town
Kennedy town
Killen town
Kimberly city
Kinsey town
Kinston town
Ladonia CDP
La Fayette city
Lakeview town
Lake View town
Lanett city
Langston town
Leeds city
Leesburg town
Leighton town
Leroy CDP
Lester town
Level Plains town
Lexington town
Libertyville town
Lincoln city
Linden city
Lineville city
Lipscomb city
Lisman town
Littleville town
Livingston city
Loachapoka town
Lockhart town
Locust Fork town
Lookout Mountain CDP
Louisville town
Lowndesboro town
Loxley town
Luverne city
Lynn town
McDonald Chapel CDP
Macedonia CDP
McIntosh town
McKenzie town
McMullen town
Madison city
Madrid town
Magnolia Springs town
Malcolm CDP
Malvern town
Maplesville town
Marbury CDP
Margaret town
Marion city
Maytown town
Meadowbrook CDP
Megargel CDP
Memphis town
Mentone town
Meridianville CDP
Midfield city
Midland City town
Midway town
Mignon CDP
Millbrook city
Millerville CDP
Millport town
Millry town
Minor CDP
Mobile city
Monroeville city
Montevallo city
Montgomery city
Moody city
Moores Mill CDP
Mooresville town
Morris town
Morrison Crossroads CDP
Mosses town
Moulton city
Moundville town
Mountain Brook city
Mount Olive CDP
Mount Olive CDP
Mount Vernon town
Movico CDP
Mulga town
Munford town
Muscle Shoals city
Myrtlewood town
